trackId,trackName,artistName,albumName,popularity,genres,broad_genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
01jvihEe0ksag2uudul1gs,Moments - Seeb Remix,Tove Lo,Moments,41,"dance pop, metropopolis, pop, swedish electropop, swedish pop, swedish synthpop",EDM,0.551,0.722,9,-5.338,0,0.0446,0.0038,0.00115,0.0887,0.43,113.934,178947,4
02luOsVJEhcVH5Zf3n7Gq6,I Won't Let You Walk Away (feat. Madison Beer) - Radio Edit,Mako,I Won't Let You Walk Away (feat. Madison Beer),39,pop edm,EDM,0.469,0.79,3,-4.387,1,0.039,0.00234,0.0544,0.144,0.495,127.969,166460,4
03lgkXqMUs3EghCRmN28op,Bloom,Tritonal,U & Me,0,"edm, electro house, pop dance, pop edm, progressive electro house, progressive house, progressive trance",EDM,0.67,0.874,11,-3.537,1,0.103,0.665,0.000142,0.0867,0.452,109.983,256364,4
04AYgtKFrpldRXe5y0LNGQ,Ritual (feat. Wrabel),Marshmello,Ritual (feat. Wrabel),55,"brostep, edm, pop, progressive electro house",EDM,0.561,0.946,10,-0.899,1,0.128,0.00848,2.05E-05,0.0635,0.3,109.891,237473,4
055zEZwXYe70Z9ulw5JaSM,Bleach (Move On),Cash Cash,Bleach (Move On),40,"dance pop, edm, electro house, electropowerpop, pop dance",EDM,0.523,0.869,9,-2.917,1,0.0416,0.0182,0,0.238,0.497,93.004,210242,4
05dL7chWJaVjMJnGO1YCKk,Untouchable,Tritonal,Untouchable,48,"edm, electro house, pop dance, pop edm, progressive electro house, progressive house, progressive trance",EDM,0.542,0.795,7,-3.131,1,0.0379,0.0664,2.89E-06,0.313,0.251,128.959,228837,4
05WA2W5m8omNt4EZ51MZf3,Alibi,Krewella,Alibi,40,"edm, electra, electro house, pop dance",EDM,0.678,0.826,7,-4.663,0,0.0786,0.101,0,0.119,0.426,100.016,215113,4
06dT0EYXrhRQV1MsvWhNGv,Bad (feat. Vassy) - Radio Edit,David Guetta,Listen,56,"big room, dance pop, edm, pop, pop dance",EDM,0.614,0.972,5,-3.927,0,0.088,0.00125,0.0186,0.328,0.411,127.966,170625,4
06h3McKzmxS8Bx58USHiMq,Silhouettes - Original Radio Edit,Avicii,Silhouettes,69,"dance pop, edm, pop, pop dance",EDM,0.605,0.8,5,-6.235,0,0.0545,0.155,0.0562,0.121,0.836,128.074,211880,4
07FMnItEdDXZ2WAgNR9n6a,Would You Even Know,Audien,Would You Even Know,54,"edm, electro house, pop dance, pop edm, progressive electro house, progressive house",EDM,0.505,0.804,6,-2.514,1,0.0438,0.109,0,0.124,0.253,95.924,197590,4
07nH4ifBxUB4lZcsf44Brn,Blame (feat. John Newman),Calvin Harris,Motion,81,"dance pop, edm, electro house, house, pop, pop dance, progressive house, uk dance",EDM,0.414,0.857,0,-4.078,0,0.0808,0.0287,0.00574,0.343,0.348,128.024,212960,4
08cPAkWiIYmZ2ngTWO4UsJ,Better For It (feat. Clay Finnesand),Last Heroes,Finding Light,23,"melodic dubstep, pop edm",EDM,0.537,0.734,5,-5.891,1,0.042,0.177,0,0.0975,0.22,144.932,198621,4
08kOTwVYfp8lFWcsVVhYNS,Wish It Was Me,Cheat Codes,"HELLRAISERS, Part 1",35,"edm, pop, pop dance",EDM,0.592,0.555,5,-5.465,1,0.0368,0.17,0,0.0676,0.352,138.029,164910,4
0AKkmHJMYeRpFYOBHpT372,In My Head - Matisse & Sadko Remix,Galantis,In My Head,27,"dance pop, edm, pop, pop dance",EDM,0.582,0.885,9,-4.501,0,0.0542,0.00403,0.00488,0.27,0.213,127.966,316875,4
0AOEd0Zw22aTE8LzsS4EMg,Another Life,AFROJACK,Another Life,51,"big room, dance pop, dutch house, edm, electro house, pop dance",EDM,0.416,0.771,7,-3.183,0,0.054,0.178,1.57E-06,0.501,0.493,144.873,208689,4
0bmB3nzQuHBfI6nM4SETVu,Surrender,Cash Cash,"Blood, Sweat & 3 Years",48,"dance pop, edm, electro house, electropowerpop, pop dance",EDM,0.542,0.894,1,-2.879,1,0.0676,0.0236,0,0.132,0.296,127.947,208133,4
0c0l69JCctCQVdVi6IeZtH,Out My Mind,Tritonal,Out My Mind,38,"edm, electro house, pop dance, pop edm, progressive electro house, progressive house, progressive trance",EDM,0.725,0.831,9,-4.75,1,0.0942,0.139,0,0.131,0.679,111.998,195000,4
0dfOAWQfRVFYpLnm9OTpxv,Lonely Together (feat. Dagny),Kygo,Thrill Of The Chase,56,"edm, pop, pop dance, tropical house",EDM,0.671,0.843,3,-5.653,1,0.0633,0.155,4.22E-06,0.0881,0.39,112.137,178027,4
0dxAvCV7LGcGIJQZuqhmgL,Lay It Down,ILLENIUM,Fallen Embers,52,"edm, melodic dubstep, pop dance",EDM,0.413,0.537,7,-4.913,0,0.0311,0.316,4.52E-06,0.0771,0.118,77.661,264774,4
0e7MyG8qoeI5Hn7mtEbhOy,Just For Right Now,Midnight Kids,The Long Way Home,33,pop edm,EDM,0.545,0.628,7,-5.836,1,0.0404,0.252,0,0.0747,0.254,117.976,223729,4
0EdgK7ASb4kfRkW8pVMN02,2 Hearts (feat. Gia Koka),Sam Feldt,2 Hearts (feat. Gia Koka),52,"edm, pop dance, tropical house",EDM,0.503,0.754,7,-3.634,1,0.0424,0.264,5.85E-05,0.297,0.597,116.524,186750,4
0Ev562zA4pmUsBqjxsxxdx,Feel Good (with Daya),Gryffin,Feel Good (with Daya),67,"edm, pop dance",EDM,0.625,0.707,2,-4.761,1,0.0337,0.22,0,0.213,0.479,138.064,248156,4
0f8xPdFJ6SdlHJwkxpdw2Q,Still the Same (feat. Boy In Space),shy martin,Still the Same (feat. Boy In Space),47,"alt z, swedish electropop",EDM,0.658,0.473,4,-7.632,1,0.0463,0.367,0,0.187,0.563,98.022,178140,4
0FDzzruyVECATHXKHFs9eJ,A Sky Full of Stars,Coldplay,Ghost Stories,89,"permanent wave, pop",EDM,0.545,0.675,6,-6.474,1,0.0279,0.00617,0.00197,0.209,0.162,124.97,267867,4
0fXnUUwq5vvaRvMzXLu4WO,LaserLight,Jessie J,Who You Are,29,"dance pop, pop",EDM,0.799,0.779,11,-3.708,1,0.0591,0.151,1.55E-05,0.109,0.843,127.501,210173,4
0HWJbGrwVbmXWelYMDJtid,DRXGS,Yellow Claw,DRXGS,40,"dutch house, edm, electro house, pop dance",EDM,0.75,0.692,0,-9.068,0,0.0429,0.38,0.0006,0.14,0.701,95.043,172039,4
0jb8yv9BI9BEOPDBXiwTnc,Bed Of Roses,AFROJACK,Bed Of Roses,36,"big room, dance pop, dutch house, edm, electro house, pop dance",EDM,0.533,0.579,0,-4.377,1,0.0304,0.66,0,0.524,0.341,136.072,201106,4
0jH2sASKUg7hPisZl7Un6c,say you´re with me,BUNT.,Say You´re With Me,34,stutter house,EDM,0.481,0.834,2,-6.585,1,0.0476,0.249,0.00043,0.111,0.442,194.09,165898,4
0kA1eiBk1ZZumtKnSXWAR5,Stay,Nicky Romero,Stay,31,"big room, dutch edm, dutch house, edm, electro house, pop dance, progressive electro house",EDM,0.667,0.69,0,-7.682,0,0.075,0.14,0,0.0932,0.371,116.068,196000,4
0LD50sctcOYbte6JrPLfvm,Solid,Jay Hardway,Solid,27,"dutch edm, dutch house, edm, electro house, pop dance, progressive electro house",EDM,0.603,0.739,11,-5.783,1,0.0395,0.002,0.746,0.651,0.21,128.029,171567,4
0lHAMNU8RGiIObScrsRgmP,Titanium (feat. Sia),David Guetta,Nothing but the Beat 2.0,74,"big room, dance pop, edm, pop, pop dance",EDM,0.604,0.788,0,-3.673,0,0.103,0.0678,0.153,0.127,0.301,126.06,245040,4
0lks2Kt9veMOFEAPN0fsqN,Lily,Alan Walker,Different World,75,electro house,EDM,0.423,0.634,6,-5.877,0,0.0578,0.196,0,0.189,0.467,150.978,195840,4
0LRYbMHrBXkXNUBhRkENT1,Lullaby,R3HAB,The Wave,67,"dutch house, edm, electro house, pop dance, progressive electro house, slap house",EDM,0.626,0.8,1,-3.988,0,0.035,0.0267,0.000133,0.0623,0.26,127.965,160184,4
