trackId,trackName,artistName,albumName,popularity,genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,broad_genre
66aopuYEZqzKnZKts9cYzn,Not Over You,Hoang,Not Over You,48.0,pop edm,0.455,0.591,6.0,-5.546,1.0,0.0302,0.0142,2.6e-05,0.131,0.126,153.996,197370.0,4.0,Pop
2aI21FnmY7TJVKeMaoQZ0t,Say It Right,Nelly Furtado,Loose,84.0,"canadian latin, canadian pop, dance pop, pop",0.872,0.872,1.0,-6.328,1.0,0.139,0.0476,0.00112,0.0543,0.809,116.948,223080.0,4.0,Pop
4oE5XjA6GRbACGi0iar6PJ,Into the Great Unknown,WildVibes,Into the Great Unknown,21.0,"pop edm, sky room",0.648,0.675,1.0,-7.292,1.0,0.0347,0.474,0.000137,0.0719,0.355,121.999,207049.0,4.0,Pop
07FMnItEdDXZ2WAgNR9n6a,Would You Even Know,Audien,Would You Even Know,54.0,"edm, electro house, pop dance, pop edm, progressive electro house, progressive house",0.505,0.804,6.0,-2.514,1.0,0.0438,0.109,0.0,0.124,0.253,95.924,197590.0,4.0,EDM
3nEaqL2YXuorAebBCkA5yv,Broken Ones (with Anna Clendening) [Last Heroes Remix],ILLENIUM,ASCEND,38.0,"edm, melodic dubstep, pop dance",0.426,0.758,10.0,-5.86,1.0,0.051,0.0115,0.0,0.236,0.157,150.052,198400.0,4.0,EDM
6zAyDlVfft6Ghu2ddj0Mbh,Tomorrow Never Comes,Vicetone,Tomorrow Never Comes,58.0,"edm, electro house, pop dance, progressive electro house",0.678,0.776,1.0,-4.323,0.0,0.0285,0.0359,6.56e-06,0.111,0.542,114.99,177424.0,4.0,EDM
22szgJ9WufVHgefSgOD6Dv,Cold Skin - MitiS Remix,Seven Lions,Cold Skin (The Remixes),50.0,"brostep, complextro, dubstep, edm, electro house, melodic dubstep, pop dance, progressive trance",0.519,0.874,10.0,-4.219,1.0,0.0389,0.144,0.0016,0.0548,0.166,145.944,236712.0,4.0,EDM
41sFEVzcBymxGTnnZCUkzG,All I Need (feat. your friend polly),Jason Ross,Atlas,35.0,"dubstep, melodic dubstep, pop edm, progressive house, progressive trance",0.417,0.747,4.0,-4.495,1.0,0.0516,0.423,0.0,0.122,0.503,72.475,196138.0,1.0,EDM
7DsQcrBb8p6dc6ccMFf7Gk,Landslide,SABAI,Landslide,39.0,pop edm,0.529,0.807,4.0,-3.869,0.0,0.0427,0.00371,6.44e-05,0.152,0.133,140.01,190286.0,4.0,Pop
2PjP6kbOMsXr07fyfgcI0g,Shelter (feat. Melanie Fontana),Jason Ross,1000 Faces,39.0,"dubstep, melodic dubstep, pop edm, progressive house, progressive trance",0.444,0.63,0.0,-4.554,0.0,0.0341,0.0742,0.0,0.0915,0.282,145.054,201025.0,4.0,EDM
4F42lL3HKmFPwbHzva7WNU,Home,Taska Black,Home,40.0,"bass trap, future bass, pop edm, vapor twitch",0.542,0.65,8.0,-7.778,0.0,0.0534,0.243,0.00136,0.152,0.376,118.019,181017.0,4.0,EDM
3BxwdZzXRILQ4JPJCZgrSo,Stop Thinking (feat. Lights) - MitiS Remix,Seven Lions,Stop Thinking (feat. Lights) [MitiS Remix],31.0,"brostep, complextro, dubstep, edm, electro house, melodic dubstep, pop dance, progressive trance",0.344,0.518,9.0,-6.609,1.0,0.0333,0.144,9.6e-06,0.0891,0.0919,170.194,260471.0,4.0,EDM
055zEZwXYe70Z9ulw5JaSM,Bleach (Move On),Cash Cash,Bleach (Move On),40.0,"dance pop, edm, electro house, electropowerpop, pop dance",0.523,0.869,9.0,-2.917,1.0,0.0416,0.0182,0.0,0.238,0.497,93.004,210242.0,4.0,Pop
7MpAJjJbMrmeLJbrDJ0wHh,Honest,NOTD,Honest,53.0,"pop dance, pop edm",0.721,0.766,1.0,-6.217,0.0,0.145,0.0804,2.26e-05,0.0659,0.577,98.018,181516.0,4.0,Pop
3Y7a0typ6ik1KscmebXd6D,No New Friends,Sia,No New Friends,0.0,"australian dance, australian pop, pop",0.724,0.702,7.0,-4.622,1.0,0.0429,0.0648,0.000256,0.121,0.688,106.044,175823.0,4.0,Pop
4lJNen4SMTIJMahALc3DcB,"Thunderclouds (feat. Sia, Diplo, and Labrinth)",Sia,"LABRINTH, SIA & DIPLO PRESENT... LSD",74.0,"australian dance, australian pop, pop",0.69,0.714,7.0,-5.948,1.0,0.0338,0.0077,7.23e-05,0.191,0.489,112.009,187027.0,4.0,Pop
3X3mfRMRaPJRiIMDMQtSkd,Landslide,Oh Wonder,Oh Wonder,66.0,"electropop, indie poptimism, pov: indie",0.624,0.423,1.0,-8.757,1.0,0.0628,0.748,8.18e-05,0.103,0.325,81.299,208229.0,4.0,Indie/Alternative
3FZEv9JddkjHNFiMVxJYpS,Carry Me (feat. Julia Michaels),Kygo,Cloud Nine,59.0,"edm, pop, pop dance, tropical house",0.621,0.551,7.0,-7.89,1.0,0.0474,0.486,0.0,0.115,0.222,105.052,233133.0,4.0,EDM
2fZW7ByWe46rGih0FtP2XK,Nothing Left (feat. Will Heard),Kygo,Cloud Nine,53.0,"edm, pop, pop dance, tropical house",0.679,0.576,4.0,-6.609,0.0,0.0402,0.261,0.000113,0.366,0.348,154.09,236683.0,4.0,EDM
6ieSmmi7H6BdBowVhMOZ6F,Someone To Forget,ARMNHMR,Someone To Forget,43.0,"melodic dubstep, pop edm",0.464,0.736,2.0,-4.588,1.0,0.0379,0.0645,0.0,0.101,0.166,139.983,241714.0,4.0,EDM
3DGar7krWlmrXRFHBcQF6z,Whenever (feat. Conor Maynard),Kris Kross Amsterdam,Whenever (feat. Conor Maynard),62.0,"dutch house, dutch pop",0.734,0.765,7.0,-5.562,1.0,0.0621,0.151,0.0,0.231,0.518,109.989,163636.0,4.0,EDM
7HnSY7CAnw7FgiSiwVILiz,Using (with Emily Warren) - Syn Cole Remix,RITUAL,Using,40.0,"indie electropop, vapor soul",0.699,0.855,0.0,-3.267,0.0,0.036,0.0621,0.000164,0.0853,0.5,107.978,180000.0,4.0,Indie/Alternative
6eUClMzq8c9cKBXd6NrgVN,Life Goes On,Fergie,Double Dutchess,4.0,"dance pop, pop",0.6,0.731,7.0,-4.989,1.0,0.24,0.0632,0.0,0.616,0.488,92.869,266047.0,4.0,Pop
3BP1klbHxsOf6IxscNIX0r,Tonight,NURKO,Tonight,37.0,"melodic dubstep, pop edm",0.528,0.633,1.0,-5.027,1.0,0.0478,0.232,5.48e-06,0.11,0.211,141.01,214286.0,4.0,EDM
4n38mzJeXeCPQpXS9hMsGG,Breathe Again,Man Cub,Breathe Again,46.0,"melodic dubstep, pop edm",0.489,0.825,11.0,-4.179,1.0,0.0411,0.0508,0.0883,0.221,0.311,150.027,211300.0,4.0,EDM
2WNHUp4s806SJrsj698ZX3,That’s Not How This Works (feat. Dan + Shay & Sabrina Carpenter) - Sabrina’s Version,Charlie Puth,That’s Not How This Works (feat. Dan + Shay & Sabrina Carpenter),64.0,"pop, viral pop",0.56,0.597,9.0,-3.929,1.0,0.0471,0.54,0.0,0.0945,0.534,170.041,166640.0,4.0,Pop
79xrGzqhv4y92SwvnjHB0N,Oceans (with Kid Joi),Gryffin,Oceans (with Kid Joi),49.0,"edm, pop dance",0.569,0.843,1.0,-5.615,0.0,0.0347,0.000385,0.0,0.304,0.2,126.052,200001.0,4.0,EDM
6wogJFtETgMRt3thwSBBNb,Intuition,Ellie Goulding,Higher Than Heaven,39.0,"indietronica, metropopolis, pop, uk pop",0.646,0.793,6.0,-4.791,0.0,0.0745,0.433,0.0,0.0685,0.394,100.048,192615.0,4.0,EDM
5Uw7Dut2lZfexn3Y09swpf,Find U Again (feat. Camila Cabello),Mark Ronson,Late Night Feelings,53.0,pop soul,0.605,0.664,8.0,-7.162,1.0,0.0316,0.00548,3e-06,0.204,0.164,103.997,176417.0,4.0,Pop
6uvQXH6nPHFC5wBBPz9PPR,Justified,Emotional Oranges,Justified,16.0,indie r&b,0.807,0.527,8.0,-8.803,0.0,0.0396,0.0153,0.0,0.075,0.783,96.023,165872.0,4.0,Indie/Alternative
1daDRI9ahBonbWD8YcxOIB,Angels Like You,Miley Cyrus,Plastic Hearts,88.0,pop,0.672,0.642,5.0,-4.035,1.0,0.0313,0.0981,0.0,0.1,0.494,121.981,196453.0,4.0,Pop
1pZIZ2XwQufUYv7hQoT8QZ,Tall Boi,salem ilese,Tall Boi,4.0,"alt z, modern indie pop",0.725,0.716,8.0,-3.694,0.0,0.0871,0.127,0.0,0.339,0.868,116.986,150090.0,4.0,Indie/Alternative
1gpFuNlgfcpvXtD2TQILsQ,Chapters,Nicky Romero,Chapters,35.0,"big room, dutch edm, dutch house, edm, electro house, pop dance, progressive electro house",0.484,0.807,11.0,-5.217,0.0,0.0805,0.194,0.0,0.652,0.346,128.066,213625.0,4.0,EDM
4T4NLIMypdmyUwK54jECk4,Too Little Too Late,JoJo,The High Road,76.0,"dance pop, pop, post-teen pop",0.421,0.799,6.0,-5.183,0.0,0.0562,0.00871,1.63e-05,0.0794,0.731,82.408,221720.0,4.0,Pop
4HLcj0MD2tg91flaBCIJHJ,Tastes Like You,Ellie Goulding,Higher Than Heaven,43.0,"indietronica, metropopolis, pop, uk pop",0.487,0.739,5.0,-5.576,1.0,0.0656,0.0545,0.000119,0.131,0.314,195.779,192350.0,4.0,EDM
2Gl0FzuLxflY6nPifJp5Dr,First Time,Kygo,First Time,68.0,"edm, pop, pop dance, tropical house",0.633,0.592,0.0,-7.245,0.0,0.112,0.197,0.0,0.099,0.679,90.066,193511.0,4.0,EDM
07J3p1GchLPc2kAKFgd1TD,Fall So Hard,Christopher,Fall So Hard,44.0,danish pop,0.572,0.797,0.0,-4.181,1.0,0.0497,0.0949,0.0,0.259,0.598,135.76,214720.0,4.0,Pop
6Wytqpe4mfmyeT8s1xbczG,Something In The Way You Move,Ellie Goulding,Delirium,56.0,"indietronica, metropopolis, pop, uk pop",0.658,0.814,1.0,-6.157,0.0,0.0493,0.0398,0.0,0.114,0.316,109.004,227423.0,4.0,EDM
5znLmlnc0Uems8ua5YDtmT,Business,Call Me Loop,Business,23.0,"alt z, uk pop",0.71,0.668,0.0,-7.421,0.0,0.103,0.178,1.07e-05,0.173,0.571,93.011,164202.0,4.0,Indie/Alternative
1k0HaXwqnev6ITPjYqvtxF,Between You and Me,One Bit,Between You and Me,42.0,pop edm,0.68,0.829,5.0,-4.452,0.0,0.0491,0.0377,0.0,0.0848,0.574,123.987,211441.0,4.0,Pop
5P0qKugL0MJpmqKGZo6UO7,Unpredictable,Olly Murs,You Know I Know,48.0,"dance pop, pop, talent show",0.628,0.746,1.0,-4.338,1.0,0.0411,0.0574,0.0,0.102,0.471,103.959,199587.0,4.0,Pop
0UnhE0UhBTBwtnzEXzP0it,Write On Me,Fifth Harmony,7/27,53.0,"girl group, pop, talent show",0.441,0.692,7.0,-5.427,0.0,0.128,0.359,1.94e-06,0.161,0.475,189.879,219560.0,4.0,Pop
0bmB3nzQuHBfI6nM4SETVu,Surrender,Cash Cash,"Blood, Sweat & 3 Years",48.0,"dance pop, edm, electro house, electropowerpop, pop dance",0.542,0.894,1.0,-2.879,1.0,0.0676,0.0236,0.0,0.132,0.296,127.947,208133.0,4.0,Pop
5bvNpG6wiIEf1PA13TkTu2,Phone Down,Lost Kings,Phone Down,51.0,"pop dance, pop edm",0.599,0.682,9.0,-5.393,0.0,0.0882,0.00684,0.0,0.117,0.459,143.834,215565.0,4.0,Pop
26AuyrZGzWWiYZPSd3XBIg,Bloodstream,The Chainsmokers,Memories...Do Not Open,54.0,pop,0.62,0.627,9.0,-5.889,1.0,0.0259,0.0317,0.0,0.172,0.164,90.955,224280.0,4.0,Pop
6GeD5g9vZTz25Egf8kxoIY,Last Day Alive,The Chainsmokers,Memories...Do Not Open,50.0,pop,0.435,0.706,0.0,-8.197,1.0,0.0425,0.0571,4.15e-05,0.0903,0.24,144.913,214307.0,4.0,Pop
6V9kwssTrwkKT72imgowj9,My Type,The Chainsmokers,Memories...Do Not Open,56.0,pop,0.604,0.603,7.0,-6.324,0.0,0.0389,0.0357,0.0,0.126,0.15,94.989,217413.0,4.0,Pop
2rggoRqUqZcsznpwSRYSqx,You Don’t Look at Me the Same,Great Good Fine Ok,Great Good Five Ok,39.0,"hopebeat, indie poptimism, metropopolis, neo-synthpop, nyc pop",0.723,0.471,2.0,-8.503,1.0,0.0316,0.642,0.0,0.166,0.652,122.044,176653.0,4.0,EDM
5a7NdkF09AfD0H607eiOkX,On My Mind,Ellie Goulding,Delirium,71.0,"indietronica, metropopolis, pop, uk pop",0.702,0.705,0.0,-6.666,1.0,0.0543,0.258,5.93e-06,0.0879,0.743,154.911,213445.0,4.0,EDM
7vGuf3Y35N4wmASOKLUVVU,Silence,Marshmello,Silence,83.0,"brostep, edm, pop, progressive electro house",0.52,0.761,4.0,-3.093,1.0,0.0853,0.256,4.96e-06,0.17,0.286,141.971,180823.0,4.0,EDM
13SfKfixPEDQBOYYtaY3Wh,Lost The Breakup,Maisie Peters,Lost The Breakup,8.0,"alt z, uk pop",0.593,0.884,4.0,-3.313,1.0,0.0767,0.0351,5.54e-06,0.487,0.607,147.092,189413.0,4.0,Indie/Alternative
6NAeCHRuzqURCsUpYTQbjK,Call on Me,Bebe Rexha,Call on Me,50.0,"dance pop, pop",0.656,0.847,4.0,-5.241,0.0,0.0444,0.245,5e-05,0.108,0.659,123.026,170102.0,4.0,Pop
2F2p7b5Xq20mRyEeWYaeUF,Substitution (feat. Julian Perretta),Purple Disco Machine,Substitution (feat. Julian Perretta),81.0,"deep house, house",0.69,0.89,0.0,-4.866,0.0,0.0507,0.00903,1.61e-05,0.188,0.713,124.018,181478.0,4.0,EDM
1AxPKYDEiL1uNfJj0dk2sT,Different Lives,Fly By Midnight,Fictional Illustrations,59.0,singer-songwriter pop,0.671,0.863,0.0,-5.504,0.0,0.032,0.0545,2.09e-06,0.105,0.626,120.034,201000.0,4.0,Pop
7fIW8LCKXLGSLUbpGYbZSy,Don't Say [The Acoustic],Hoang,Don't Say [The Acoustic],29.0,pop edm,0.486,0.464,3.0,-10.259,1.0,0.03,0.715,7.24e-05,0.0843,0.382,142.919,151771.0,4.0,Pop
5OGCd9NL8XcwpkTmSxL5YI,You Found Yours,Luke Combs,Gettin' Old,67.0,"contemporary country, country",0.586,0.725,10.0,-7.073,1.0,0.0254,0.00532,0.00173,0.228,0.68,94.995,191987.0,4.0,Indie/Alternative
1Lo0QY9cvc8sUB2vnIOxDT,Fast Car,Luke Combs,Gettin' Old,89.0,"contemporary country, country",0.712,0.603,8.0,-5.52,1.0,0.0262,0.186,0.0,0.115,0.67,97.994,265493.0,4.0,Indie/Alternative
6g7vmvWmMqAJCdIU38J4pC,Someone Better,Alexa Cappelli,Someone Better,37.0,alt z,0.749,0.259,7.0,-8.875,1.0,0.0399,0.853,0.0,0.0875,0.365,95.848,169965.0,4.0,Indie/Alternative
7KWf7gZ05NciRE6SXZveds,Infinitely Falling,Fly By Midnight,Fictional Illustrations,64.0,singer-songwriter pop,0.6,0.842,9.0,-6.876,1.0,0.0326,0.133,0.00404,0.115,0.49,107.014,163738.0,4.0,Pop
5YbGrhQCpOT4aOTlFgACke,SunKissing,Hailee Steinfeld,SunKissing,60.0,pop,0.578,0.867,4.0,-4.317,1.0,0.0569,0.011,0.0,0.34,0.548,143.912,177253.0,4.0,Pop
1ENQZlb9iVUnCoN2QtI77e,With All My Heart,ILLENIUM,With All My Heart,56.0,"edm, melodic dubstep, pop dance",0.565,0.697,9.0,-4.901,1.0,0.0316,0.321,0.0,0.0926,0.343,99.934,177600.0,4.0,EDM
0tYtfBFJLVn2ITE66FbaLT,By The End Of The Night,Ellie Goulding,By The End Of The Night,52.0,"indietronica, metropopolis, pop, uk pop",0.603,0.816,1.0,-3.549,0.0,0.0335,0.0104,5.7e-05,0.133,0.401,149.934,188562.0,4.0,EDM
